dags,aldur,variable,median,upper
2020-02-29,80+,serious,0,0
2020-03-01,[0 - 9],cases,0,1
2020-03-01,[10 - 19],cases,0,4
2020-03-01,[20 - 29],cases,1,6
2020-03-01,[30 - 39],cases,2,7
2020-03-01,[40 - 49],cases,3,10
2020-03-01,[50 - 59],cases,2,9
2020-03-01,[60 - 69],cases,2,7
2020-03-01,[70 - 79],cases,0,2
2020-03-01,80+,cases,0,1
2020-03-01,[0 - 9],hospital,0,0
2020-03-01,[10 - 19],hospital,0,0
2020-03-01,[20 - 29],hospital,0,0
2020-03-01,[30 - 39],hospital,0,1
2020-03-01,[40 - 49],hospital,0,1
2020-03-01,[50 - 59],hospital,0,2
2020-03-01,[60 - 69],hospital,0,2
2020-03-01,[70 - 79],hospital,0,1
2020-03-01,80+,hospital,0,0
2020-03-01,[0 - 9],serious,0,0
2020-03-01,[10 - 19],serious,0,0
2020-03-01,[20 - 29],serious,0,0
2020-03-01,[30 - 39],serious,0,0
2020-03-01,[40 - 49],serious,0,0
2020-03-01,[50 - 59],serious,0,1
2020-03-01,[60 - 69],serious,0,1
2020-03-01,[70 - 79],serious,0,1
2020-03-01,80+,serious,0,0
2020-03-02,[0 - 9],cases,0,1
2020-03-02,[10 - 19],cases,1,4
2020-03-02,[20 - 29],cases,1,6
2020-03-02,[30 - 39],cases,2,7
2020-03-02,[40 - 49],cases,3,11
2020-03-02,[50 - 59],cases,3,9
2020-03-02,[60 - 69],cases,2,8
2020-03-02,[70 - 79],cases,0,2
2020-03-02,80+,cases,0,1
2020-03-02,[0 - 9],hospital,0,0
2020-03-02,[10 - 19],hospital,0,0
2020-03-02,[20 - 29],hospital,0,0
2020-03-02,[30 - 39],hospital,0,1
2020-03-02,[40 - 49],hospital,0,2
2020-03-02,[50 - 59],hospital,0,2
2020-03-02,[60 - 69],hospital,0,2
2020-03-02,[70 - 79],hospital,0,1
2020-03-02,80+,hospital,0,0
2020-03-02,[0 - 9],serious,0,0
2020-03-02,[10 - 19],serious,0,0
2020-03-02,[20 - 29],serious,0,0
2020-03-02,[30 - 39],serious,0,0
2020-03-02,[40 - 49],serious,0,0
2020-03-02,[50 - 59],serious,0,1
2020-03-02,[60 - 69],serious,0,1
2020-03-02,[70 - 79],serious,0,1
2020-03-02,80+,serious,0,0
2020-03-03,[0 - 9],cases,0,1
2020-03-03,[10 - 19],cases,1,4
2020-03-03,[20 - 29],cases,2,7
2020-03-03,[30 - 39],cases,2,8
2020-03-03,[40 - 49],cases,4,12
2020-03-03,[50 - 59],cases,3,10
2020-03-03,[60 - 69],cases,2,8
2020-03-03,[70 - 79],cases,0,3
2020-03-03,80+,cases,0,1
2020-03-03,[0 - 9],hospital,0,0
2020-03-03,[10 - 19],hospital,0,0
2020-03-03,[20 - 29],hospital,0,0
2020-03-03,[30 - 39],hospital,0,1
2020-03-03,[40 - 49],hospital,0,2
2020-03-03,[50 - 59],hospital,0,2
2020-03-03,[60 - 69],hospital,0,2
2020-03-03,[70 - 79],hospital,0,1
2020-03-03,80+,hospital,0,0
2020-03-03,[0 - 9],serious,0,0
2020-03-03,[10 - 19],serious,0,0
2020-03-03,[20 - 29],serious,0,0
2020-03-03,[30 - 39],serious,0,0
2020-03-03,[40 - 49],serious,0,0
2020-03-03,[50 - 59],serious,0,1
2020-03-03,[60 - 69],serious,0,1
2020-03-03,[70 - 79],serious,0,1
2020-03-03,80+,serious,0,0
2020-03-04,[0 - 9],cases,0,2
2020-03-04,[10 - 19],cases,1,4
2020-03-04,[20 - 29],cases,2,8
2020-03-04,[30 - 39],cases,3,9
2020-03-04,[40 - 49],cases,5,14
2020-03-04,[50 - 59],cases,4,11
2020-03-04,[60 - 69],cases,3,9
2020-03-04,[70 - 79],cases,0,3
2020-03-04,80+,cases,0,1
2020-03-04,[0 - 9],hospital,0,0
2020-03-04,[10 - 19],hospital,0,0
2020-03-04,[20 - 29],hospital,0,1
2020-03-04,[30 - 39],hospital,0,1
2020-03-04,[40 - 49],hospital,0,2
2020-03-04,[50 - 59],hospital,0,2
2020-03-04,[60 - 69],hospital,0,3
2020-03-04,[70 - 79],hospital,0,1
2020-03-04,80+,hospital,0,0
2020-03-04,[0 - 9],serious,0,0
2020-03-04,[10 - 19],serious,0,0
2020-03-04,[20 - 29],serious,0,0
2020-03-04,[30 - 39],serious,0,0
2020-03-04,[40 - 49],serious,0,0
2020-03-04,[50 - 59],serious,0,1
2020-03-04,[60 - 69],serious,0,1
2020-03-04,[70 - 79],serious,0,1
2020-03-04,80+,serious,0,0
2020-03-05,[0 - 9],cases,0,2
2020-03-05,[10 - 19],cases,1,5
2020-03-05,[20 - 29],cases,3,9
2020-03-05,[30 - 39],cases,4,10
2020-03-05,[40 - 49],cases,7,15
2020-03-05,[50 - 59],cases,5,13
2020-03-05,[60 - 69],cases,4,10
2020-03-05,[70 - 79],cases,0,3
2020-03-05,80+,cases,0,1
2020-03-05,[0 - 9],hospital,0,0
2020-03-05,[10 - 19],hospital,0,0
2020-03-05,[20 - 29],hospital,0,1
2020-03-05,[30 - 39],hospital,0,1
2020-03-05,[40 - 49],hospital,0,2
2020-03-05,[50 - 59],hospital,0,3
2020-03-05,[60 - 69],hospital,0,3
2020-03-05,[70 - 79],hospital,0,1
2020-03-05,80+,hospital,0,0
2020-03-05,[0 - 9],serious,0,0
2020-03-05,[10 - 19],serious,0,0
2020-03-05,[20 - 29],serious,0,0
2020-03-05,[30 - 39],serious,0,0
2020-03-05,[40 - 49],serious,0,0
2020-03-05,[50 - 59],serious,0,1
2020-03-05,[60 - 69],serious,0,1
2020-03-05,[70 - 79],serious,0,1
2020-03-05,80+,serious,0,0
2020-03-06,[0 - 9],cases,0,2
2020-03-06,[10 - 19],cases,2,5
2020-03-06,[20 - 29],cases,4,10
2020-03-06,[30 - 39],cases,5,11
2020-03-06,[40 - 49],cases,8,17
2020-03-06,[50 - 59],cases,6,14
2020-03-06,[60 - 69],cases,5,11
2020-03-06,[70 - 79],cases,1,3
2020-03-06,80+,cases,0,1
2020-03-06,[0 - 9],hospital,0,0
2020-03-06,[10 - 19],hospital,0,0
2020-03-06,[20 - 29],hospital,0,1
2020-03-06,[30 - 39],hospital,0,1
2020-03-06,[40 - 49],hospital,0,2
2020-03-06,[50 - 59],hospital,0,3
2020-03-06,[60 - 69],hospital,1,3
2020-03-06,[70 - 79],hospital,0,1
2020-03-06,80+,hospital,0,0
2020-03-06,[0 - 9],serious,0,0
2020-03-06,[10 - 19],serious,0,0
2020-03-06,[20 - 29],serious,0,0
2020-03-06,[30 - 39],serious,0,0
2020-03-06,[40 - 49],serious,0,0
2020-03-06,[50 - 59],serious,0,1
2020-03-06,[60 - 69],serious,0,1
2020-03-06,[70 - 79],serious,0,1
2020-03-06,80+,serious,0,0
2020-03-07,[0 - 9],cases,0,2
2020-03-07,[10 - 19],cases,2,6
2020-03-07,[20 - 29],cases,5,11
2020-03-07,[30 - 39],cases,6,12
2020-03-07,[40 - 49],cases,10,20
2020-03-07,[50 - 59],cases,8,16
2020-03-07,[60 - 69],cases,6,13
2020-03-07,[70 - 79],cases,1,4
2020-03-07,80+,cases,0,1
2020-03-07,[0 - 9],hospital,0,0
2020-03-07,[10 - 19],hospital,0,0
2020-03-07,[20 - 29],hospital,0,1
2020-03-07,[30 - 39],hospital,0,1
2020-03-07,[40 - 49],hospital,0,2
2020-03-07,[50 - 59],hospital,1,3
2020-03-07,[60 - 69],hospital,1,3
2020-03-07,[70 - 79],hospital,0,1
2020-03-07,80+,hospital,0,1
2020-03-07,[0 - 9],serious,0,0
2020-03-07,[10 - 19],serious,0,0
2020-03-07,[20 - 29],serious,0,0
2020-03-07,[30 - 39],serious,0,0
2020-03-07,[40 - 49],serious,0,0
2020-03-07,[50 - 59],serious,0,1
2020-03-07,[60 - 69],serious,0,2
2020-03-07,[70 - 79],serious,0,1
2020-03-07,80+,serious,0,0
2020-03-08,[0 - 9],cases,0,2
2020-03-08,[10 - 19],cases,3,7
2020-03-08,[20 - 29],cases,6,12
2020-03-08,[30 - 39],cases,7,14
2020-03-08,[40 - 49],cases,12,22
2020-03-08,[50 - 59],cases,10,18
2020-03-08,[60 - 69],cases,7,14
2020-03-08,[70 - 79],cases,1,4
2020-03-08,80+,cases,0,1
2020-03-08,[0 - 9],hospital,0,0
2020-03-08,[10 - 19],hospital,0,0
2020-03-08,[20 - 29],hospital,0,1
2020-03-08,[30 - 39],hospital,0,1
2020-03-08,[40 - 49],hospital,0,2
2020-03-08,[50 - 59],hospital,1,3
2020-03-08,[60 - 69],hospital,1,4
2020-03-08,[70 - 79],hospital,0,2
2020-03-08,80+,hospital,0,1
2020-03-08,[0 - 9],serious,0,0
2020-03-08,[10 - 19],serious,0,0
2020-03-08,[20 - 29],serious,0,0
2020-03-08,[30 - 39],serious,0,0
2020-03-08,[40 - 49],serious,0,0
2020-03-08,[50 - 59],serious,0,1
2020-03-08,[60 - 69],serious,0,2
2020-03-08,[70 - 79],serious,0,1
2020-03-08,80+,serious,0,0
2020-03-09,[0 - 9],cases,0,3
2020-03-09,[10 - 19],cases,3,8
2020-03-09,[20 - 29],cases,7,14
2020-03-09,[30 - 39],cases,8,16
2020-03-09,[40 - 49],cases,15,25
2020-03-09,[50 - 59],cases,12,21
2020-03-09,[60 - 69],cases,9,16
2020-03-09,[70 - 79],cases,1,4
2020-03-09,80+,cases,0,1
2020-03-09,[0 - 9],hospital,0,0
2020-03-09,[10 - 19],hospital,0,0
2020-03-09,[20 - 29],hospital,0,1
2020-03-09,[30 - 39],hospital,0,1
2020-03-09,[40 - 49],hospital,1,3
2020-03-09,[50 - 59],hospital,1,4
2020-03-09,[60 - 69],hospital,1,4
2020-03-09,[70 - 79],hospital,0,2
2020-03-09,80+,hospital,0,1
2020-03-09,[0 - 9],serious,0,0
2020-03-09,[10 - 19],serious,0,0
2020-03-09,[20 - 29],serious,0,0
2020-03-09,[30 - 39],serious,0,0
2020-03-09,[40 - 49],serious,0,1
2020-03-09,[50 - 59],serious,0,1
2020-03-09,[60 - 69],serious,0,2
2020-03-09,[70 - 79],serious,0,1
2020-03-09,80+,serious,0,1
2020-03-10,[0 - 9],cases,1,3
2020-03-10,[10 - 19],cases,4,9
2020-03-10,[20 - 29],cases,8,16
2020-03-10,[30 - 39],cases,10,18
2020-03-10,[40 - 49],cases,18,29
2020-03-10,[50 - 59],cases,14,23
2020-03-10,[60 - 69],cases,11,19
2020-03-10,[70 - 79],cases,2,5
2020-03-10,80+,cases,0,1
2020-03-10,[0 - 9],hospital,0,0
2020-03-10,[10 - 19],hospital,0,0
2020-03-10,[20 - 29],hospital,0,1
2020-03-10,[30 - 39],hospital,0,2
2020-03-10,[40 - 49],hospital,1,3
2020-03-10,[50 - 59],hospital,1,4
2020-03-10,[60 - 69],hospital,2,5
2020-03-10,[70 - 79],hospital,0,2
2020-03-10,80+,hospital,0,1
2020-03-10,[0 - 9],serious,0,0
2020-03-10,[10 - 19],serious,0,0
2020-03-10,[20 - 29],serious,0,0
2020-03-10,[30 - 39],serious,0,0
2020-03-10,[40 - 49],serious,0,1
2020-03-10,[50 - 59],serious,0,1
2020-03-10,[60 - 69],serious,0,2
2020-03-10,[70 - 79],serious,0,1
2020-03-10,80+,serious,0,1
2020-03-11,[0 - 9],cases,1,3
2020-03-11,[10 - 19],cases,5,10
2020-03-11,[20 - 29],cases,10,18
2020-03-11,[30 - 39],cases,12,21
2020-03-11,[40 - 49],cases,22,33
2020-03-11,[50 - 59],cases,17,27
2020-03-11,[60 - 69],cases,13,21
2020-03-11,[70 - 79],cases,2,5
2020-03-11,80+,cases,0,2
2020-03-11,[0 - 9],hospital,0,0
2020-03-11,[10 - 19],hospital,0,0
2020-03-11,[20 - 29],hospital,0,1
2020-03-11,[30 - 39],hospital,0,2
2020-03-11,[40 - 49],hospital,1,3
2020-03-11,[50 - 59],hospital,2,5
2020-03-11,[60 - 69],hospital,2,5
2020-03-11,[70 - 79],hospital,0,2
2020-03-11,80+,hospital,0,1
2020-03-11,[0 - 9],serious,0,0
2020-03-11,[10 - 19],serious,0,0
2020-03-11,[20 - 29],serious,0,0
2020-03-11,[30 - 39],serious,0,0
2020-03-11,[40 - 49],serious,0,1
2020-03-11,[50 - 59],serious,0,1
2020-03-11,[60 - 69],serious,0,2
2020-03-11,[70 - 79],serious,0,1
2020-03-11,80+,serious,0,1
2020-03-12,[0 - 9],cases,1,3
2020-03-12,[10 - 19],cases,6,11
2020-03-12,[20 - 29],cases,12,20
2020-03-12,[30 - 39],cases,15,24
2020-03-12,[40 - 49],cases,26,38
2020-03-12,[50 - 59],cases,20,31
2020-03-12,[60 - 69],cases,15,24
2020-03-12,[70 - 79],cases,3,6
2020-03-12,80+,cases,0,2
2020-03-12,[0 - 9],hospital,0,0
2020-03-12,[10 - 19],hospital,0,0
2020-03-12,[20 - 29],hospital,0,1
2020-03-12,[30 - 39],hospital,0,2
2020-03-12,[40 - 49],hospital,1,4
2020-03-12,[50 - 59],hospital,2,5
2020-03-12,[60 - 69],hospital,2,6
2020-03-12,[70 - 79],hospital,0,2
2020-03-12,80+,hospital,0,1
2020-03-12,[0 - 9],serious,0,0
2020-03-12,[10 - 19],serious,0,0
2020-03-12,[20 - 29],serious,0,0
2020-03-12,[30 - 39],serious,0,0
2020-03-12,[40 - 49],serious,0,1
2020-03-12,[50 - 59],serious,0,1
2020-03-12,[60 - 69],serious,1,2
2020-03-12,[70 - 79],serious,0,1
2020-03-12,80+,serious,0,1
2020-03-13,[0 - 9],cases,1,4
2020-03-13,[10 - 19],cases,7,12
2020-03-13,[20 - 29],cases,14,23
2020-03-13,[30 - 39],cases,17,27
2020-03-13,[40 - 49],cases,31,44
2020-03-13,[50 - 59],cases,24,35
2020-03-13,[60 - 69],cases,18,28
2020-03-13,[70 - 79],cases,3,7
2020-03-13,80+,cases,0,2
2020-03-13,[0 - 9],hospital,0,0
2020-03-13,[10 - 19],hospital,0,0
2020-03-13,[20 - 29],hospital,0,1
2020-03-13,[30 - 39],hospital,0,2
2020-03-13,[40 - 49],hospital,1,4
2020-03-13,[50 - 59],hospital,2,6
2020-03-13,[60 - 69],hospital,3,7
2020-03-13,[70 - 79],hospital,1,3
2020-03-13,80+,hospital,0,1
2020-03-13,[0 - 9],serious,0,0
2020-03-13,[10 - 19],serious,0,0
2020-03-13,[20 - 29],serious,0,0
2020-03-13,[30 - 39],serious,0,0
2020-03-13,[40 - 49],serious,0,1
2020-03-13,[50 - 59],serious,0,1
2020-03-13,[60 - 69],serious,1,3
2020-03-13,[70 - 79],serious,0,2
2020-03-13,80+,serious,0,1
2020-03-14,[0 - 9],cases,1,4
2020-03-14,[10 - 19],cases,8,14
2020-03-14,[20 - 29],cases,17,26
2020-03-14,[30 - 39],cases,20,31
2020-03-14,[40 - 49],cases,36,50
2020-03-14,[50 - 59],cases,28,40
2020-03-14,[60 - 69],cases,21,31
2020-03-14,[70 - 79],cases,4,8
2020-03-14,80+,cases,0,2
2020-03-14,[0 - 9],hospital,0,0
2020-03-14,[10 - 19],hospital,0,0
2020-03-14,[20 - 29],hospital,0,1
2020-03-14,[30 - 39],hospital,0,2
2020-03-14,[40 - 49],hospital,2,5
2020-03-14,[50 - 59],hospital,3,6
2020-03-14,[60 - 69],hospital,3,7
2020-03-14,[70 - 79],hospital,1,3
2020-03-14,80+,hospital,0,1
2020-03-14,[0 - 9],serious,0,0
2020-03-14,[10 - 19],serious,0,0
2020-03-14,[20 - 29],serious,0,0
2020-03-14,[30 - 39],serious,0,0
2020-03-14,[40 - 49],serious,0,1
2020-03-14,[50 - 59],serious,0,2
2020-03-14,[60 - 69],serious,1,3
2020-03-14,[70 - 79],serious,0,2
2020-03-14,80+,serious,0,1
2020-03-15,[0 - 9],cases,2,5
2020-03-15,[10 - 19],cases,9,16
2020-03-15,[20 - 29],cases,20,29
2020-03-15,[30 - 39],cases,24,34
2020-03-15,[40 - 49],cases,42,57
2020-03-15,[50 - 59],cases,32,45
2020-03-15,[60 - 69],cases,24,35
2020-03-15,[70 - 79],cases,4,9
2020-03-15,80+,cases,0,2
2020-03-15,[0 - 9],hospital,0,0
2020-03-15,[10 - 19],hospital,0,0
2020-03-15,[20 - 29],hospital,0,1
2020-03-15,[30 - 39],hospital,1,3
2020-03-15,[40 - 49],hospital,2,5
2020-03-15,[50 - 59],hospital,3,7
2020-03-15,[60 - 69],hospital,4,8
2020-03-15,[70 - 79],hospital,1,3
2020-03-15,80+,hospital,0,1
2020-03-15,[0 - 9],serious,0,0
2020-03-15,[10 - 19],serious,0,0
2020-03-15,[20 - 29],serious,0,0
2020-03-15,[30 - 39],serious,0,0
2020-03-15,[40 - 49],serious,0,1
2020-03-15,[50 - 59],serious,0,2
2020-03-15,[60 - 69],serious,1,3
2020-03-15,[70 - 79],serious,0,2
2020-03-15,80+,serious,0,1
2020-03-16,[0 - 9],cases,2,5
2020-03-16,[10 - 19],cases,10,17
2020-03-16,[20 - 29],cases,23,33
2020-03-16,[30 - 39],cases,27,39
2020-03-16,[40 - 49],cases,49,64
2020-03-16,[50 - 59],cases,37,51
2020-03-16,[60 - 69],cases,28,40
2020-03-16,[70 - 79],cases,5,9
2020-03-16,80+,cases,1,2
2020-03-16,[0 - 9],hospital,0,0
2020-03-16,[10 - 19],hospital,0,0
2020-03-16,[20 - 29],hospital,0,1
2020-03-16,[30 - 39],hospital,1,3
2020-03-16,[40 - 49],hospital,2,5
2020-03-16,[50 - 59],hospital,4,8
2020-03-16,[60 - 69],hospital,5,9
2020-03-16,[70 - 79],hospital,1,3
2020-03-16,80+,hospital,0,1
2020-03-16,[0 - 9],serious,0,0
2020-03-16,[10 - 19],serious,0,0
2020-03-16,[20 - 29],serious,0,0
2020-03-16,[30 - 39],serious,0,0
2020-03-16,[40 - 49],serious,0,1
2020-03-16,[50 - 59],serious,0,2
2020-03-16,[60 - 69],serious,1,4
2020-03-16,[70 - 79],serious,0,2
2020-03-16,80+,serious,0,1
2020-03-17,[0 - 9],cases,2,5
2020-03-17,[10 - 19],cases,12,19
2020-03-17,[20 - 29],cases,25,36
2020-03-17,[30 - 39],cases,31,43
2020-03-17,[40 - 49],cases,55,71
2020-03-17,[50 - 59],cases,42,56
2020-03-17,[60 - 69],cases,32,44
2020-03-17,[70 - 79],cases,5,10
2020-03-17,80+,cases,1,3
2020-03-17,[0 - 9],hospital,0,0
2020-03-17,[10 - 19],hospital,0,0
2020-03-17,[20 - 29],hospital,0,1
2020-03-17,[30 - 39],hospital,1,3
2020-03-17,[40 - 49],hospital,3,6
2020-03-17,[50 - 59],hospital,4,8
2020-03-17,[60 - 69],hospital,5,10
2020-03-17,[70 - 79],hospital,1,4
2020-03-17,80+,hospital,0,1
2020-03-17,[0 - 9],serious,0,0
2020-03-17,[10 - 19],serious,0,0
2020-03-17,[20 - 29],serious,0,0
2020-03-17,[30 - 39],serious,0,1
2020-03-17,[40 - 49],serious,0,1
2020-03-17,[50 - 59],serious,0,2
2020-03-17,[60 - 69],serious,1,4
2020-03-17,[70 - 79],serious,0,2
2020-03-17,80+,serious,0,1
2020-03-18,[0 - 9],cases,3,6
2020-03-18,[10 - 19],cases,13,21
2020-03-18,[20 - 29],cases,29,40
2020-03-18,[30 - 39],cases,35,48
2020-03-18,[40 - 49],cases,62,79
2020-03-18,[50 - 59],cases,48,63
2020-03-18,[60 - 69],cases,36,49
2020-03-18,[70 - 79],cases,6,11
2020-03-18,80+,cases,1,3
2020-03-18,[0 - 9],hospital,0,0
2020-03-18,[10 - 19],hospital,0,0
2020-03-18,[20 - 29],hospital,0,2
2020-03-18,[30 - 39],hospital,1,3
2020-03-18,[40 - 49],hospital,3,7
2020-03-18,[50 - 59],hospital,5,9
2020-03-18,[60 - 69],hospital,6,11
2020-03-18,[70 - 79],hospital,1,4
2020-03-18,80+,hospital,0,1
2020-03-18,[0 - 9],serious,0,0
2020-03-18,[10 - 19],serious,0,0
2020-03-18,[20 - 29],serious,0,0
2020-03-18,[30 - 39],serious,0,1
2020-03-18,[40 - 49],serious,0,1
2020-03-18,[50 - 59],serious,0,2
2020-03-18,[60 - 69],serious,1,4
2020-03-18,[70 - 79],serious,0,2
2020-03-18,80+,serious,0,1
2020-03-19,[0 - 9],cases,3,6
2020-03-19,[10 - 19],cases,15,23
2020-03-19,[20 - 29],cases,32,44
2020-03-19,[30 - 39],cases,39,53
2020-03-19,[40 - 49],cases,69,87
2020-03-19,[50 - 59],cases,53,69
2020-03-19,[60 - 69],cases,40,54
2020-03-19,[70 - 79],cases,7,12
2020-03-19,80+,cases,1,3
2020-03-19,[0 - 9],hospital,0,0
2020-03-19,[10 - 19],hospital,0,0
2020-03-19,[20 - 29],hospital,0,2
2020-03-19,[30 - 39],hospital,1,3
2020-03-19,[40 - 49],hospital,3,7
2020-03-19,[50 - 59],hospital,5,10
2020-03-19,[60 - 69],hospital,6,12
2020-03-19,[70 - 79],hospital,2,4
2020-03-19,80+,hospital,0,1
2020-03-19,[0 - 9],serious,0,0
2020-03-19,[10 - 19],serious,0,0
2020-03-19,[20 - 29],serious,0,0
2020-03-19,[30 - 39],serious,0,1
2020-03-19,[40 - 49],serious,0,1
2020-03-19,[50 - 59],serious,0,2
2020-03-19,[60 - 69],serious,2,5
2020-03-19,[70 - 79],serious,1,2
2020-03-19,80+,serious,0,1
2020-03-20,[0 - 9],cases,3,7
2020-03-20,[10 - 19],cases,16,25
2020-03-20,[20 - 29],cases,35,48
2020-03-20,[30 - 39],cases,43,57
2020-03-20,[40 - 49],cases,75,96
2020-03-20,[50 - 59],cases,58,75
2020-03-20,[60 - 69],cases,44,59
2020-03-20,[70 - 79],cases,7,13
2020-03-20,80+,cases,1,3
2020-03-20,[0 - 9],hospital,0,0
2020-03-20,[10 - 19],hospital,0,1
2020-03-20,[20 - 29],hospital,0,2
2020-03-20,[30 - 39],hospital,1,4
2020-03-20,[40 - 49],hospital,4,8
2020-03-20,[50 - 59],hospital,6,11
2020-03-20,[60 - 69],hospital,7,13
2020-03-20,[70 - 79],hospital,2,5
2020-03-20,80+,hospital,0,1
2020-03-20,[0 - 9],serious,0,0
2020-03-20,[10 - 19],serious,0,0
2020-03-20,[20 - 29],serious,0,0
2020-03-20,[30 - 39],serious,0,1
2020-03-20,[40 - 49],serious,0,1
2020-03-20,[50 - 59],serious,1,2
2020-03-20,[60 - 69],serious,2,5
2020-03-20,[70 - 79],serious,1,3
2020-03-20,80+,serious,0,1
2020-03-21,[0 - 9],cases,3,7
2020-03-21,[10 - 19],cases,18,27
2020-03-21,[20 - 29],cases,38,52
2020-03-21,[30 - 39],cases,46,62
2020-03-21,[40 - 49],cases,82,104
2020-03-21,[50 - 59],cases,63,82
2020-03-21,[60 - 69],cases,47,64
2020-03-21,[70 - 79],cases,8,14
2020-03-21,80+,cases,1,3
2020-03-21,[0 - 9],hospital,0,0
2020-03-21,[10 - 19],hospital,0,1
2020-03-21,[20 - 29],hospital,0,2
2020-03-21,[30 - 39],hospital,1,4
2020-03-21,[40 - 49],hospital,4,8
2020-03-21,[50 - 59],hospital,6,12
2020-03-21,[60 - 69],hospital,8,14
2020-03-21,[70 - 79],hospital,2,5
2020-03-21,80+,hospital,0,1
2020-03-21,[0 - 9],serious,0,0
2020-03-21,[10 - 19],serious,0,0
2020-03-21,[20 - 29],serious,0,0
2020-03-21,[30 - 39],serious,0,1
2020-03-21,[40 - 49],serious,0,1
2020-03-21,[50 - 59],serious,1,3
2020-03-21,[60 - 69],serious,2,5
2020-03-21,[70 - 79],serious,1,3
2020-03-21,80+,serious,0,1
2020-03-22,[0 - 9],cases,4,8
2020-03-22,[10 - 19],cases,19,29
2020-03-22,[20 - 29],cases,41,56
2020-03-22,[30 - 39],cases,49,67
2020-03-22,[40 - 49],cases,88,113
2020-03-22,[50 - 59],cases,67,89
2020-03-22,[60 - 69],cases,51,69
2020-03-22,[70 - 79],cases,9,15
2020-03-22,80+,cases,1,4
2020-03-22,[0 - 9],hospital,0,0
2020-03-22,[10 - 19],hospital,0,1
2020-03-22,[20 - 29],hospital,0,2
2020-03-22,[30 - 39],hospital,1,4
2020-03-22,[40 - 49],hospital,4,9
2020-03-22,[50 - 59],hospital,7,12
2020-03-22,[60 - 69],hospital,8,15
2020-03-22,[70 - 79],hospital,2,5
2020-03-22,80+,hospital,0,2
2020-03-22,[0 - 9],serious,0,0
2020-03-22,[10 - 19],serious,0,0
2020-03-22,[20 - 29],serious,0,0
2020-03-22,[30 - 39],serious,0,1
2020-03-22,[40 - 49],serious,0,1
2020-03-22,[50 - 59],serious,1,3
2020-03-22,[60 - 69],serious,2,5
2020-03-22,[70 - 79],serious,1,3
2020-03-22,80+,serious,0,1
2020-03-23,[0 - 9],cases,4,8
2020-03-23,[10 - 19],cases,20,31
2020-03-23,[20 - 29],cases,43,60
2020-03-23,[30 - 39],cases,53,72
2020-03-23,[40 - 49],cases,93,121
2020-03-23,[50 - 59],cases,71,95
2020-03-23,[60 - 69],cases,54,74
2020-03-23,[70 - 79],cases,9,16
2020-03-23,80+,cases,1,4
2020-03-23,[0 - 9],hospital,0,0
2020-03-23,[10 - 19],hospital,0,1
2020-03-23,[20 - 29],hospital,0,2
2020-03-23,[30 - 39],hospital,2,4
2020-03-23,[40 - 49],hospital,4,9
2020-03-23,[50 - 59],hospital,7,13
2020-03-23,[60 - 69],hospital,9,16
2020-03-23,[70 - 79],hospital,2,6
2020-03-23,80+,hospital,0,2
2020-03-23,[0 - 9],serious,0,0
2020-03-23,[10 - 19],serious,0,0
